trading_day,rank,symbol,security_name,security_id,last_traded_price,closing_price,percentage_change,point_change,market_avg_pct_change,relative_strength
2026-08-26,19,SRBLD83,10.25% Sunrise Bank Debenture 2083,2878,1025.0,1025.0,0.99,10.0,1.97,-0.98
2026-08-26,18,TRH,Taragaon Regency Hotel Limited,148,803.0,803.0,1.13,9.0,1.97,-0.84
2026-08-26,17,RBBD2088,7% RBBL Debenture 2088,9264,1042.0,1042.0,1.17,12.0,1.97,-0.8
2026-08-26,16,GCIL,Ghorahi Cement Industry Limited,9193,342.0,342.0,1.18,4.0,1.97,-0.79
2026-08-26,15,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,2829,1430.0,1430.0,2.14,29.9,1.97,0.17
2026-08-26,14,SEF,Siddhartha Equity Fund,2770,9.49,9.49,2.26,0.21,1.97,0.29
2026-08-26,13,SHINED,Shine Resunga Debenture,9286,1125.0,1125.0,2.27,25.0,1.97,0.3
2026-08-26,12,MFLD85,9.5% Manjushree Finance Limited Debenture 2085,2932,1105.0,1105.0,2.7,29.1,1.97,0.73
2026-08-26,11,LUK,Laxmi Unnati Kosh,2902,9.83,9.83,2.93,0.28,1.97,0.96
2026-08-26,10,MANDU,Mandu Hydropower Limited,9212,732.4,732.4,2.98,21.2,1.97,1.01
2026-08-26,9,NICBF,NIC Asia Balanced Fund,2863,9.3,9.3,2.99,0.27,1.97,1.02
2026-08-26,8,SPL,Shuvam Power Limited,9147,648.9,648.9,3.0,18.9,1.97,1.03
2026-08-26,7,KHPL,Kalinchock Hydropower Limited,9334,803.0,803.0,3.21,25.0,1.97,1.24
2026-08-26,6,ECL,Everest Colour Limited,9347,1465.0,1465.0,4.2,59.0,1.97,2.23
2026-08-26,5,MMF1,Mega Mutual Fund -1,8023,9.07,9.07,4.25,0.37,1.97,2.28
2026-08-26,4,NABILD2089,7% Nabil Debenture 2089,9299,1087.9,1087.9,5.62,57.9,1.97,3.65
2026-08-26,3,EBLD85,10.50% Everest Bank Limited Debenture 2085,8119,1129.8,1129.8,6.08,64.8,1.97,4.11
2026-08-26,2,UHEWA,Upper Hewakhola Hydropower Company Limited,8099,667.0,667.0,10.43,63.0,1.97,8.46
2026-08-26,1,SAPIL,Sarvottam Paints Industries Limited,9353,1212.9,1212.9,15.0,158.2,1.97,13.03
2026-08-25,20,BHCL,Bikash Hydropower Company Limited,9267,553.0,553.0,1.99,10.8,1.29,0.7
2026-08-25,19,GRDBL,Green Development Bank Ltd.,2744,999.9,999.9,2.07,20.3,1.29,0.78
2026-08-25,18,RSY2,Reliable Samriddhi Yojana -2,9351,9.15,9.15,2.12,0.19,1.29,0.83
2026-08-25,17,NSY,Nepal Life Samriddhi Lagani Yojana,9312,9.2,9.2,2.22,0.2,1.29,0.93
2026-08-25,16,SMHL,Super Madi Hydropower Limited,9146,524.8,524.8,2.3,11.8,1.29,1.01
2026-08-25,15,KBSH,Kutheli Bukhari Small Hydropower Limited,9196,910.0,910.0,2.47,21.9,1.29,1.18
2026-08-25,14,RBCL,Rastriya Beema Company Limited,177,14149.0,14149.0,2.51,346.0,1.29,1.22
2026-08-25,13,NMBUR93/94,NMB Energy Bond 4% - 2093/94 ,8105,990.0,990.0,2.91,28.0,1.29,1.62
2026-08-25,12,KSY,Kumari Sabal Yojana,9241,9.47,9.47,2.93,0.27,1.29,1.64
2026-08-25,11,CIZBD90,10% Citizens Bank Debenture 2090,9231,1261.0,1261.0,2.94,36.0,1.29,1.65
2026-08-25,10,KEF,Kumari Equity Fund,2933,10.0,10.0,3.09,0.3,1.29,1.8
2026-08-25,9,SNORL,Snow Rivers Limited,9344,910.0,910.0,3.17,28.0,1.29,1.88
2026-08-25,8,RBBF40,RBB Focus 40,9302,9.3,9.3,3.33,0.3,1.29,2.04
2026-08-25,7,SPHL,Sayapatri Hydropower Limited,8121,580.0,580.0,3.39,19.0,1.29,2.1
2026-08-25,6,MAKAR,Makar Jitumaya Suri Hydropower Limited,9166,439.0,439.0,4.8,20.1,1.29,3.51
2026-08-25,5,KHPL,Kalinchock Hydropower Limited,9334,778.0,778.0,5.56,41.0,1.29,4.27
2026-08-25,4,ECL,Everest Colour Limited,9347,1406.0,1406.0,5.71,76.0,1.29,4.42
2026-08-25,3,NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,2784,742.0,742.0,6.0,42.0,1.29,4.71
2026-08-25,2,CREST,Crest Micro Life Insurance Limited,9252,1253.0,1253.0,14.95,163.0,1.29,13.66
2026-08-25,1,SAPIL,Sarvottam Paints Industries Limited,9353,1054.7,1054.7,14.99,137.5,1.29,13.7
2026-08-24,20,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,583,679.5,679.5,1.27,8.5,1.36,-0.09
2026-08-24,19,BNT,Bottlers Nepal (Terai) Limited,213,11900.0,11900.0,1.28,150.0,1.36,-0.08
2026-08-24,18,UNL,Unilever Nepal Limited,219,47200.0,47200.0,1.29,600.0,1.36,-0.07
2026-08-24,17,NCCD86,9.5% NCC Debenture 2086,2936,1118.0,1118.0,1.44,15.9,1.36,0.08
2026-08-24,16,NIBLSTF,NIBL Stable Fund,9244,8.47,8.47,1.68,0.14,1.36,0.32
2026-08-24,15,SWASTIK,Swastik Laghubitta Bittiya Sanstha Limited,9295,1987.0,1987.0,1.82,35.6,1.36,0.46
2026-08-24,14,SHINED,Shine Resunga Debenture,9286,1116.0,1116.0,1.92,21.0,1.36,0.56
2026-08-24,13,SHL,Soaltee Hotel Limited,147,509.9,509.9,1.94,9.7,1.36,0.58
2026-08-24,12,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,2807,1100.0,1100.0,1.95,21.0,1.36,0.59
2026-08-24,11,NICFC,NIC Asia Flexi CAP Fund,8073,9.2,9.2,2.34,0.21,1.36,0.98
2026-08-24,10,NBF2,NABIL BALANCED FUND-2,2835,10.09,10.09,2.44,0.24,1.36,1.08
2026-08-24,9,CSY,Citizens Santulit Yojana,9304,9.01,9.01,2.85,0.25,1.36,1.49
2026-08-24,8,KBLD86,10.25% KBL Debenture 2086,2885,1112.0,1112.0,2.96,32.0,1.36,1.6
2026-08-24,7,EBLD91,Everest Bank Limited Debenture 2091,9255,1102.0,1102.0,3.28,35.0,1.36,1.92
2026-08-24,6,KKHC,Khanikhola Hydropower Co. Ltd.,2751,278.9,278.9,3.33,9.0,1.36,1.97
2026-08-24,5,HATHY,Hathway Investment Nepal Limited,9213,630.3,630.3,3.33,20.3,1.36,1.97
2026-08-24,4,SPHL,Sayapatri Hydropower Limited,8121,561.0,561.0,6.27,33.1,1.36,4.91
2026-08-24,3,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,8065,1600.0,1600.0,9.14,134.0,1.36,7.78
2026-08-24,2,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,8123,1150.0,1150.0,11.98,123.0,1.36,10.62
2026-08-24,1,SAPIL,Sarvottam Paints Industries Limited,9353,917.2,917.2,14.99,119.6,1.36,13.63
2026-08-21,20,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,8031,267.4,267.4,1.29,3.4,1.15,0.14
2026-08-21,19,PHCL,Peoples Hydropower Company Limited,8133,306.9,306.9,1.29,3.9,1.15,0.14
2026-08-21,18,GBBD85,"Garima Debenture, 2085",8033,1077.8,1077.8,1.3,13.8,1.15,0.15
2026-08-21,17,CFCL,Central Finance Co. Ltd.,245,599.0,599.0,1.51,8.9,1.15,0.36
2026-08-21,16,CHDC,CEDB Holdings Limited,3946,2240.0,2240.0,1.55,34.1,1.15,0.4
2026-08-21,15,H8020,Himalayan 80-20,9221,12.0,12.0,1.69,0.2,1.15,0.54
2026-08-21,14,HHL,Himalayan Hydropower Limited,8076,334.8,334.8,1.73,5.7,1.15,0.58
2026-08-21,13,RBCL,Rastriya Beema Company Limited,177,14069.8,14069.8,1.84,254.8,1.15,0.69
2026-08-21,12,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,8018,1070.0,1070.0,1.9,20.0,1.15,0.75
2026-08-21,11,SMJC,Sagarmatha Jalabidhyut Company Limited,9159,437.0,437.0,2.08,8.9,1.15,0.93
2026-08-21,10,BHPL,Barahi Hydropower Public Limited,9135,478.0,478.0,2.11,9.9,1.15,0.96
2026-08-21,9,HLICF,HLI Large Cap Fund,9290,8.55,8.55,2.15,0.18,1.15,1.0
2026-08-21,8,SEF,Siddhartha Equity Fund,2770,9.51,9.51,2.26,0.21,1.15,1.11
2026-08-21,7,SHPC,Sanima Mai Hydropower Ltd.,591,527.2,527.2,2.57,13.2,1.15,1.42
2026-08-21,6,NIBLGF,NIBL Growth Fund,9138,8.8,8.8,3.77,0.32,1.15,2.62
2026-08-21,5,NSY,Nepal Life Samriddhi Lagani Yojana,9312,9.52,9.52,4.62,0.42,1.15,3.47
2026-08-21,4,HATHY,Hathway Investment Nepal Limited,9213,610.0,610.0,4.99,29.0,1.15,3.84
2026-08-21,3,RHGCL,Rapti Hydro And General Construction Limited,8108,268.0,268.0,5.51,14.0,1.15,4.36
2026-08-21,2,PMHPL,Panchakanya Mai Hydropower Ltd,2786,345.9,345.9,13.86,42.1,1.15,12.71
2026-08-21,1,SAPIL,Sarvottam Paints Industries Limited,9353,797.6,797.6,14.99,104.0,1.15,13.84
